Λi,λ00,λ10,λ01,λ11,λ21,λ02,λ12,λ22,λ03,λ13,λ23
ρ1,3931.9,-17395.8,3132.38,343966,-1.21626*10**6,-70698,1.38391*10**6,-3.96628*10**6,-60017.5,803515,-2.09171*10**6
ρ2,-40105.5,112253,23561.7,-3.47618*10**6,1.13759*10**7,754313,-1.30848*10**7,3.64446*10**7,596227,-7.42779*10**6,1.8929*10**7
ρ3,83208.4,-191238,-210916,8.71798*10**6,-2.69149*10**7,-1.98898*10**6,3.0888*10**7,-8.39087*10**7,-1.4535*10**6,1.70635*10**7,-4.27487*10**7
v2,0.814984,2.57476,1.16102,-2.36278,6.77104,0.757078,-2.72569,7.11404,0.176693,-0.797869,2.11624
γ1,0.0069274,0.0302047,0.00630802,-0.120741,0.262716,0.00341518,-0.107793,0.27099,0.000737419,-0.0274962,0.0733151
γ2,1.01034,0.000899312,0.283949,-4.04975,13.2078,0.103963,-7.02506,24.7849,0.030932,-2.6924,9.60937
γ3,1.30816,-0.00553773,-0.0678292,-0.668983,3.40315,-0.0529658,-0.992379,4.82068,-0.00613414,-0.384293,1.75618
σ1,2096.55,1463.75,1312.55,18307.3,-43534.1,-833.289,32047.3,-108609,452.251,8353.44,-44531.3
σ2,-10114.1,-44631,-6541.31,-266959,686328,3405.64,-437508,1.63182*10**6,-7462.65,-114585,674402
σ3,22933.7,230960,14961.1,1.19402*10**6,-3.10422*10**6,-3038.17,1.87203*10**6,-7.30915*10**6,42738.2,467502,-3.06485*10**6
σ4,-14621.7,-377813,-9608.68,-1.71089*10**6,4.33292*10**6,-22366.7,-2.50197*10**6,1.02745*10**7,-85360.3,-570025,4.39684*10**6
β1,97.8975,-42.6597,153.484,-1417.06,2752.86,138.741,-1433.66,2857.74,41.0251,-423.681,850.359
β2,-3.2827,-9.05138,-12.4154,55.4716,-106.051,-11.953,76.807,-155.332,-3.41293,25.5724,-54.408
β3,-2.51564*10**-5,1.97503*10**-5,-1.83707*10**-5,2.18863*10**-5,8.25024*10**-5,7.15737*10**-6,-5.578*10**-5,1.91421*10**-4,5.44717*10**-6,-3.22061*10**-5,7.97402*10**-5
α1,43.3151,638.633,-32.8577,2415.89,-5766.88,-61.8546,2953.97,-8986.29,-21.5714,981.216,-3239.57
α2,-0.0702021,-0.162698,-0.187251,1.13831,-2.83342,-0.17138,1.71975,-4.53972,-0.0499834,0.606207,-1.68277
α3,9.59881,-397.054,16.2021,-1574.83,3600.34,27.0924,-1786.48,5152.92,11.1757,-577.8,1808.73
α4,-0.0298949,1.40221,-0.0735605,0.833701,0.224001,-0.0552029,0.566719,0.718693,-0.0155074,0.157503,0.210768
α5,0.997441,-0.00788445,-0.0590469,1.39587,-4.51663,-0.0558534,1.75166,-5.99021,-0.0179453,0.59651,-2.06089
